Epoch:225   Accuracy:95.42   Best_Accuracy:95.59
Epoch:226   Accuracy:95.39   Best_Accuracy:95.59
Epoch:227   Accuracy:95.45   Best_Accuracy:95.59
Epoch:228   Accuracy:95.35   Best_Accuracy:95.59
Epoch:229   Accuracy:95.49   Best_Accuracy:95.59
Epoch:230   Accuracy:95.53   Best_Accuracy:95.59
Epoch:231   Accuracy:95.60   Best_Accuracy:95.60
Epoch:232   Accuracy:95.51   Best_Accuracy:95.60
Epoch:233   Accuracy:95.53   Best_Accuracy:95.60
Epoch:234   Accuracy:95.48   Best_Accuracy:95.60
Epoch:235   Accuracy:95.57   Best_Accuracy:95.60
Epoch:236   Accuracy:95.53   Best_Accuracy:95.60
Epoch:237   Accuracy:95.39   Best_Accuracy:95.60
Epoch:238   Accuracy:95.46   Best_Accuracy:95.60
Epoch:239   Accuracy:95.40   Best_Accuracy:95.60
Epoch:240   Accuracy:95.46   Best_Accuracy:95.60
Epoch:241   Accuracy:95.42   Best_Accuracy:95.60
Epoch:242   Accuracy:95.53   Best_Accuracy:95.60
Epoch:243   Accuracy:95.44   Best_Accuracy:95.60
Epoch:244   Accuracy:95.54   Best_Accuracy:95.60
Epoch:245   Accuracy:95.73   Best_Accuracy:95.73
Epoch:246   Accuracy:95.64   Best_Accuracy:95.73
Epoch:247   Accuracy:95.60   Best_Accuracy:95.73
Epoch:248   Accuracy:95.51   Best_Accuracy:95.73
Epoch:249   Accuracy:95.68   Best_Accuracy:95.73
Epoch:250   Accuracy:95.54   Best_Accuracy:95.73
Epoch:251   Accuracy:95.60   Best_Accuracy:95.73
Epoch:252   Accuracy:95.79   Best_Accuracy:95.79
Epoch:253   Accuracy:95.48   Best_Accuracy:95.79
Epoch:254   Accuracy:95.40   Best_Accuracy:95.79
Epoch:255   Accuracy:95.59   Best_Accuracy:95.79
Epoch:256   Accuracy:95.67   Best_Accuracy:95.79
Epoch:257   Accuracy:95.69   Best_Accuracy:95.79
Epoch:258   Accuracy:95.64   Best_Accuracy:95.79
Epoch:259   Accuracy:95.57   Best_Accuracy:95.79
Epoch:260   Accuracy:95.78   Best_Accuracy:95.79
Epoch:261   Accuracy:95.47   Best_Accuracy:95.79
Epoch:262   Accuracy:95.51   Best_Accuracy:95.79
Epoch:263   Accuracy:95.53   Best_Accuracy:95.79
Epoch:264   Accuracy:95.67   Best_Accuracy:95.79
Epoch:265   Accuracy:95.75   Best_Accuracy:95.79
Epoch:266   Accuracy:95.56   Best_Accuracy:95.79
Epoch:267   Accuracy:95.53   Best_Accuracy:95.79
Epoch:268   Accuracy:95.72   Best_Accuracy:95.79
Epoch:269   Accuracy:95.76   Best_Accuracy:95.79
Epoch:270   Accuracy:95.53   Best_Accuracy:95.79
Epoch:271   Accuracy:95.83   Best_Accuracy:95.83
Epoch:272   Accuracy:95.49   Best_Accuracy:95.83
Epoch:273   Accuracy:95.63   Best_Accuracy:95.83
Epoch:274   Accuracy:95.41   Best_Accuracy:95.83
Epoch:275   Accuracy:95.42   Best_Accuracy:95.83
Epoch:276   Accuracy:95.57   Best_Accuracy:95.83
Epoch:277   Accuracy:95.47   Best_Accuracy:95.83
Epoch:278   Accuracy:95.66   Best_Accuracy:95.83
Epoch:279   Accuracy:95.59   Best_Accuracy:95.83
Epoch:280   Accuracy:95.53   Best_Accuracy:95.83
Epoch:281   Accuracy:95.62   Best_Accuracy:95.83
Epoch:282   Accuracy:95.66   Best_Accuracy:95.83
Epoch:283   Accuracy:95.55   Best_Accuracy:95.83
Epoch:284   Accuracy:95.66   Best_Accuracy:95.83
Epoch:285   Accuracy:95.40   Best_Accuracy:95.83
Epoch:286   Accuracy:95.61   Best_Accuracy:95.83
Epoch:287   Accuracy:95.45   Best_Accuracy:95.83
Epoch:288   Accuracy:95.61   Best_Accuracy:95.83
Epoch:289   Accuracy:95.56   Best_Accuracy:95.83
Epoch:290   Accuracy:95.43   Best_Accuracy:95.83
Epoch:291   Accuracy:95.54   Best_Accuracy:95.83
Epoch:292   Accuracy:95.60   Best_Accuracy:95.83
Epoch:293   Accuracy:95.48   Best_Accuracy:95.83
Epoch:294   Accuracy:95.56   Best_Accuracy:95.83
Epoch:295   Accuracy:95.49   Best_Accuracy:95.83
Epoch:296   Accuracy:95.63   Best_Accuracy:95.83
Epoch:297   Accuracy:95.61   Best_Accuracy:95.83
Epoch:298   Accuracy:95.46   Best_Accuracy:95.83
Epoch:299   Accuracy:95.77   Best_Accuracy:95.83
